X1,offset_img,condition,duration_measured_word,onset_word,rt,no,session,offset_word,img,duration_measured_img,scan.day,ID,gender,key_t,correct_resp,response,word_label,delay_frames_before,word_score_warriner,word_score_pc,word,duration_frames,onset_img,delay_frames_after,age
42,260533e21,faceWord_exp,0.6938207,2570559e20,0.4761112,42,3,2577498e20,image_stim_p.png,0.6892602,Tuesday,EK,male,2603199e20,1,b,pos,124,671,-1.24745675,advantage,42,2598438e20,157,20
43,2664163e20,faceWord_exp,0.6975472,2631531e20,0.5244176,43,3,2638507e20,image_stim_n.png,0.7050605,Tuesday,EK,male,2662357e20,NA,j,neu,110,581,-1.34327042,jam,42,2657112e20,90,20
44,2724329e20,faceWord_exp,0.6935714,2679227e19,0.4908651,44,3,2686162e20,image_stim_p.png,0.704361,Tuesday,EK,male,2722194e19,1,b,neu,185,568,-0.49714073,cafeteria,42,2717285e20,148,20
45,2793328e19,faceWord_exp,0.6913843,2749081e19,0.5214835,45,3,2755995e20,image_stim_n.png,0.7013772,Tuesday,EK,male,2791529e20,NA,j,neg,180,262,4.26184432,shame,42,2786315e20,173,20
46,2860994e20,faceWord_exp,0.6938341,2822222e20,0.558865,46,3,2829161e20,image_stim_n.png,0.7054609,Tuesday,EK,male,2859528e20,NA,j,neg,147,281,3.68876961,malice,42,2853939e17,127,20
47,2927493e19,faceWord_exp,0.6933023,2882227e20,0.4251388,47,3,288916e21,image_stim_p.png,0.7048988,Tuesday,EK,male,2924695e20,1,b,pos,186,73,-1.44435989,raspberry,42,2920444e20,116,20
48,2976658e20,faceWord_exp,0.6937484,2946898e19,0.5594573,48,3,2953835e20,image_stim_n.png,0.6892785,Tuesday,EK,male,297536e21,NA,j,neg,94,459,2.19875512,volcano,42,2969765e20,135,20
49,3034326e20,faceWord_exp,0.6935404,2999223e20,1.0926136,49,3,3006158e19,image_stim_p.png,0.688945,Tuesday,EK,male,3038362e20,1,b,pos,126,626,-2.07277439,fountain,42,3027436e20,239,20
50,3106657e20,faceWord_exp,0.6944699,3074213e20,0.5280394,50,3,3081158e20,image_stim_n.png,0.6917417,Tuesday,EK,male,310502e20,NA,j,neu,110,571,0.15117215,sum,42,309974e20,218,20
51,3178989e20,faceWord_exp,0.6946565,3.1430430000000003e+026,0.3762898,51,3,314999e21,image_stim_n.png,0.6893771,Tuesday,EK,male,3175859e19,NA,j,neg,131,323,3.98479462,snub,42,3172096e20,144,20
52,3252988e20,faceWord_exp,0.6910722,3203079e20,0.7230468,52,3,320999e21,image_stim_n.png,0.7024238,Tuesday,EK,male,3253194e20,NA,j,neg,214,495,1.23913822,debate,42,3245964e20,120,20
53,3324487e20,faceWord_exp,0.6941877,3273046e20,0.2916758,53,3,3279988e20,image_stim_n.png,0.7047295,Tuesday,EK,male,3320357e20,0,b,neg,223,485,-0.33318728,voter,42,331744e21,120,20
54,3377818e19,faceWord_exp,0.6946539,334454e21,0.6264661,54,3,3351487e20,image_stim_n.png,0.6893561,Tuesday,EK,male,3377189e20,NA,j,neu,115,524,0.60166049,toe,42,3370924e20,193,20
55,3447661e20,faceWord_exp,0.6942025,3410043e20,0.6253076,55,3,3416985e20,image_stim_n.png,0.7058611,Tuesday,EK,male,3446855e20,NA,j,neu,140,54,-1.78781044,harp,42,3440602e20,209,20
56,3509985e20,faceWord_exp,0.6943215,3482551e20,0.5250193,56,3,3489494e20,image_stim_n.png,0.7049121,Tuesday,EK,male,3508186e20,NA,j,neu,79,582,-1.50267065,spiritual,42,3502936e20,141,20
57,3576651e20,faceWord_exp,0.6936819,3533548e20,0.4752344,57,3,3540485e20,image_stim_p.png,0.7049279,Tuesday,EK,male,3574354e20,1,b,pos,173,723,-2.48408824,butterfly,42,3569601e20,127,20
58,3641816e19,faceWord_exp,0.6940665,3597876e20,0.5413855,58,3,3604817e20,image_stim_p.png,0.7045008,Tuesday,EK,male,3640184e20,1,b,neu,178,565,0.13339964,pencil,42,3634771e19,104,20
59,3713316e20,faceWord_exp,0.6911141,3659238e20,0.289499,59,3,3666149e20,image_stim_n.png,0.7026336,Tuesday,EK,male,3709184e20,NA,j,neg,239,337,2.41129574,tobacco,42,3706289e20,134,20
60,3771814e20,faceWord_exp,0.694183,3735706e20,0.3747675,60,3,3742648e20,image_stim_n.png,0.6885724,Tuesday,EK,male,3768676e20,0,b,neg,132,47,0.3373694,radish,42,3764928e20,201,20
